Unnamed: 0,Airline,Source,Destination,Total_Stops,Price,Date,Month
5050,Air India,Kolkata,Banglore,3 stops,8607,1,4
4879,Multiple carriers,Delhi,Cochin,1 stop,13587,1,6
208,Jet Airways,Kolkata,Banglore,1 stop,10844,21,5
8561,Multiple carriers,Delhi,Cochin,1 stop,13377,9,6
7265,IndiGo,Kolkata,Banglore,non-stop,4148,21,3
7266,Jet Airways,Kolkata,Banglore,1 stop,8586,18,5
528,GoAir,Banglore,Delhi,non-stop,3398,24,5
1235,SpiceJet,Chennai,Kolkata,non-stop,3543,18,5
780,Air Asia,Kolkata,Banglore,non-stop,4107,3,4
723,Jet Airways,Delhi,Cochin,1 stop,5406,6,4
7573,SpiceJet,Chennai,Kolkata,non-stop,6300,12,3
6480,Jet Airways,Mumbai,Hyderabad,non-stop,5678,27,3
1868,Air India,Kolkata,Banglore,1 stop,8891,9,5
8966,IndiGo,Delhi,Cochin,1 stop,14871,3,3
8265,Air India,Kolkata,Banglore,2 stops,12140,12,5
3428,Air India,Kolkata,Banglore,2 stops,12829,24,3
3931,IndiGo,Chennai,Kolkata,non-stop,7295,1,3
2003,Jet Airways,Kolkata,Banglore,1 stop,13941,18,5
2344,Jet Airways,Kolkata,Banglore,1 stop,14388,21,5
6263,IndiGo,Delhi,Cochin,1 stop,6206,27,5
8083,Vistara,Mumbai,Hyderabad,1 stop,12395,6,3
5930,IndiGo,Kolkata,Banglore,non-stop,4804,21,4
7610,Jet Airways,Kolkata,Banglore,1 stop,13731,24,5
9748,IndiGo,Banglore,Delhi,non-stop,4823,9,6
2483,Jet Airways,Delhi,Cochin,1 stop,12898,21,5
7275,Air India,Kolkata,Banglore,1 stop,6327,12,5
9349,IndiGo,Kolkata,Banglore,1 stop,5276,12,5
10538,Jet Airways,Kolkata,Banglore,1 stop,8586,9,5
5239,Jet Airways,Mumbai,Hyderabad,non-stop,4050,24,6
1399,IndiGo,Delhi,Cochin,1 stop,13753,3,3
1493,Jet Airways,Delhi,Cochin,1 stop,16079,21,5
10108,Jet Airways,Delhi,Cochin,1 stop,6017,21,3
2904,Jet Airways,Kolkata,Banglore,1 stop,13374,6,6
